TripTime,StartStation,EndStation
26.29,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
26.24,Jefferson Dr & 14th St SW,Jefferson Memorial
27.28,Jefferson Dr & 14th St SW,Jefferson Memorial
27.26,Jefferson Dr & 14th St SW,Jefferson Memorial
20.75,Lincoln Memorial,Jefferson Memorial
21.34,Lincoln Memorial,Jefferson Memorial
124.9,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
126.69,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
10.43,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
10.32,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
16.76,Lincoln Memorial,14th & Rhode Island Ave NW
7.02,Lincoln Memorial,20th & E St NW
20.47,Jefferson Dr & 14th St SW,15th & W St NW
29.58,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
27.31,Jefferson Dr & 14th St SW,20th & Crystal Dr
39.79,Lincoln Memorial,15th & P St NW
39.75,Lincoln Memorial,15th & P St NW
20.1,Lincoln Memorial,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
20.45,Lincoln Memorial,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
61.09,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
61.34,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
24.58,Jefferson Dr & 14th St SW,4th & East Capitol St NE
64.37,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
64.91,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
26.57,Jefferson Dr & 14th St SW,4th & East Capitol St NE
26.86,Jefferson Dr & 14th St SW,4th & East Capitol St NE
11.93,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
55.07,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
55.85,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
55.56,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
56.44,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
6.4,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
50.08,Lincoln Memorial,North Capitol St & F St NW
52.04,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
51.63,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
51.49,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
12.09,Lincoln Memorial,Lincoln Memorial
11.74,Lincoln Memorial,Lincoln Memorial
4.81,Jefferson Dr & 14th St SW,Jefferson Memorial
56.33,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
14.51,Lincoln Memorial,Independence Ave & L'Enfant Plaza SW/DOE
56.03,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
16.51,Lincoln Memorial,Independence Ave & L'Enfant Plaza SW/DOE
16.01,Lincoln Memorial,Independence Ave & L'Enfant Plaza SW/DOE
15.19,Lincoln Memorial,Jefferson Memorial
14.63,Lincoln Memorial,Jefferson Memorial
17.79,Lincoln Memorial,4th St & Madison Dr NW
13.16,Jefferson Dr & 14th St SW,21st St & Pennsylvania Ave NW
26.25,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
25.92,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
25.66,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
26.59,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
7.86,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
49.35,Lincoln Memorial,Lincoln Memorial
49.62,Lincoln Memorial,Lincoln Memorial
51.49,Lincoln Memorial,Lincoln Memorial
52.74,Lincoln Memorial,Lincoln Memorial
72.63,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
72.39,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
43.44,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
20.78,Lincoln Memorial,Jefferson Dr & 14th St SW
44.29,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
37.13,Jefferson Dr & 14th St SW,14th St & New York Ave NW
10.45,Lincoln Memorial,34th & Water St NW
50.4,Lincoln Memorial,Jefferson Dr & 14th St SW
52.05,Lincoln Memorial,Jefferson Dr & 14th St SW
20.65,Jefferson Dr & 14th St SW,Lincoln Memorial
21.98,Jefferson Dr & 14th St SW,Lincoln Memorial
11.74,Jefferson Dr & 14th St SW,L'Enfant Plaza / 7th & C St SW
59.06,Lincoln Memorial,Jefferson Dr & 14th St SW
91.77,Lincoln Memorial,Washington & Independence Ave SW/HHS
16.18,Jefferson Dr & 14th St SW,2nd St & Massachusetts Ave NE
65.63,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
1.64,Lincoln Memorial,Lincoln Memorial
73.76,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
29.31,Lincoln Memorial,14th St & New York Ave NW
29.7,Lincoln Memorial,14th St & New York Ave NW
11.92,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
30.96,Lincoln Memorial,Jefferson Dr & 14th St SW
15.81,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
105.09,Lincoln Memorial,10th & E St NW
20.9,Jefferson Dr & 14th St SW,Thomas Circle
20.79,Jefferson Dr & 14th St SW,Thomas Circle
116.17,Lincoln Memorial,10th & E St NW
116.89,Lincoln Memorial,10th & E St NW
33.41,Lincoln Memorial,13th St & New York Ave NW
56.24,Lincoln Memorial,10th & E St NW
36.06,Lincoln Memorial,13th St & New York Ave NW
34.62,Lincoln Memorial,New York Ave & 15th St NW
37.42,Lincoln Memorial,13th St & New York Ave NW
58.53,Lincoln Memorial,10th & E St NW
13.57,Jefferson Dr & 14th St SW,Lincoln Memorial
26.25,Lincoln Memorial,14th & G St NW
66.89,Lincoln Memorial,Lincoln Memorial
149,Lincoln Memorial,14th & G St NW
148.76,Lincoln Memorial,14th & G St NW
20.33,Jefferson Dr & 14th St SW,Lincoln Memorial
19.91,Jefferson Dr & 14th St SW,Lincoln Memorial
219.69,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
219.51,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
23.56,Jefferson Dr & 14th St SW,Massachusetts Ave & Dupont Circle NW
22.1,Jefferson Dr & 14th St SW,Massachusetts Ave & Dupont Circle NW
97.26,Jefferson Dr & 14th St SW,18th & C St NW
64.25,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
9.34,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
54.11,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
55.2,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
61.81,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
10.03,Jefferson Dr & 14th St SW,Jefferson Memorial
76.82,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
78.48,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
77.86,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
141.15,Jefferson Dr & 14th St SW,4th & D St NW / Judiciary Square
144.01,Jefferson Dr & 14th St SW,4th & D St NW / Judiciary Square
16.64,Lincoln Memorial,10th St & Constitution Ave NW
112.89,Lincoln Memorial,Lincoln Memorial
42.54,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
43.21,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
19.36,Lincoln Memorial,Columbia Pike & S Orme St
27.39,Lincoln Memorial,Lincoln Memorial
27.91,Lincoln Memorial,Lincoln Memorial
18.03,Lincoln Memorial,Maryland & Independence Ave SW
5.57,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
6.14,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
36.22,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
38.36,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
36.54,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
38.9,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
39.37,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
11.88,Jefferson Dr & 14th St SW,Lincoln Memorial
11.73,Jefferson Dr & 14th St SW,Lincoln Memorial
21.71,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
21.73,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
16.99,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
30.89,Lincoln Memorial,8th & H St NW
30.81,Lincoln Memorial,8th & H St NW
46.52,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
9.52,Jefferson Dr & 14th St SW,23rd & E St NW
26.26,Lincoln Memorial,Maryland & Independence Ave SW
1.62,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
37.01,Jefferson Dr & 14th St SW,23rd & Eads St
40.86,Jefferson Dr & 14th St SW,23rd & Eads St
24.07,Jefferson Dr & 14th St SW,1st & D St SE
27.83,Jefferson Dr & 14th St SW,1st & D St SE
27.59,Jefferson Dr & 14th St SW,1st & D St SE
9.1,Jefferson Dr & 14th St SW,3rd & H St NW
11.8,Lincoln Memorial,Washington & Independence Ave SW/HHS
19.51,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
7.89,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
10.68,Jefferson Dr & 14th St SW,3rd & H St NW
15.87,Lincoln Memorial,North Capitol St & F St NW
8.51,Jefferson Dr & 14th St SW,18th St & Pennsylvania Ave NW
50.9,Lincoln Memorial,22nd St & Constitution Ave NW
7.47,Jefferson Dr & 14th St SW,Jefferson Memorial
8.32,Jefferson Dr & 14th St SW,Jefferson Memorial
20.66,Jefferson Dr & 14th St SW,Eastern Market Metro / Pennsylvania Ave & 7th St SE
12.27,Lincoln Memorial,Maryland & Independence Ave SW
13.79,Lincoln Memorial,L'Enfant Plaza / 7th & C St SW
13.86,Lincoln Memorial,Washington & Independence Ave SW/HHS
5.57,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
14.46,Lincoln Memorial,North Capitol St & F St NW
17.61,Lincoln Memorial,4th & D St NW / Judiciary Square
19.13,Lincoln Memorial,North Capitol St & G Pl NE
7.74,Lincoln Memorial,21st St & Pennsylvania Ave NW
30.95,Lincoln Memorial,4th St & Madison Dr NW
31.88,Lincoln Memorial,4th St & Madison Dr NW
32.35,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
32.38,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
17.91,Lincoln Memorial,Jefferson Memorial
21.49,Lincoln Memorial,17th St & Independence Ave SW
21.74,Lincoln Memorial,17th St & Independence Ave SW
18.89,Jefferson Dr & 14th St SW,15th & Crystal Dr
12.92,Jefferson Dr & 14th St SW,4th & E St SW
30.18,Jefferson Dr & 14th St SW,S Joyce & Army Navy Dr
16.22,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
23.2,Lincoln Memorial,4th St & Madison Dr NW
26.75,Lincoln Memorial,Jefferson Memorial
20.5,Lincoln Memorial,S Joyce & Army Navy Dr
27.63,Lincoln Memorial,Jefferson Memorial
27.3,Lincoln Memorial,Jefferson Memorial
28,Jefferson Dr & 14th St SW,16th & K St NW
17.85,Jefferson Dr & 14th St SW,Lincoln Memorial
17.78,Jefferson Dr & 14th St SW,Lincoln Memorial
18.02,Jefferson Dr & 14th St SW,Lincoln Memorial
16.38,Lincoln Memorial,Jefferson Memorial
15.9,Lincoln Memorial,Jefferson Memorial
15.43,Lincoln Memorial,Jefferson Memorial
17.11,Lincoln Memorial,Jefferson Memorial
16.75,Jefferson Dr & 14th St SW,1st & K St SE
17.55,Lincoln Memorial,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
8.68,Jefferson Dr & 14th St SW,Lincoln Memorial
8.63,Jefferson Dr & 14th St SW,Lincoln Memorial
8.54,Jefferson Dr & 14th St SW,Lincoln Memorial
9.55,Jefferson Dr & 14th St SW,Lincoln Memorial
18.03,Jefferson Dr & 14th St SW,15th & P St NW
19.67,Lincoln Memorial,Pentagon City Metro / 12th & S Hayes St
3.29,Lincoln Memorial,Lincoln Memorial
17.85,Lincoln Memorial,14th & Rhode Island Ave NW
19.07,Lincoln Memorial,L'Enfant Plaza / 7th & C St SW
39.29,Lincoln Memorial,Columbus Circle / Union Station
10.37,Lincoln Memorial,Kennedy Center
9.99,Lincoln Memorial,Kennedy Center
39.41,Lincoln Memorial,Columbus Circle / Union Station
10.23,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
10.14,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
27.24,Jefferson Dr & 14th St SW,23rd & Crystal Dr
27.82,Lincoln Memorial,16th & Irving St NW
24.4,Jefferson Dr & 14th St SW,1st & H St NW
13.24,Jefferson Dr & 14th St SW,Maryland Ave & E St NE
14.44,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
16.51,Jefferson Dr & 14th St SW,14th & V St NW
15.74,Lincoln Memorial,Lynn & 19th St North
14.86,Jefferson Dr & 14th St SW,4th & East Capitol St NE
22.75,Jefferson Dr & 14th St SW,12th & Army Navy Dr
12.79,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
25.71,Lincoln Memorial,New York Ave & 15th St NW
26.13,Lincoln Memorial,New York Ave & 15th St NW
22.25,Lincoln Memorial,20th & Crystal Dr
24.3,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
25.75,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
25.56,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
44.05,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
43.74,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
17.4,Jefferson Dr & 14th St SW,15th & L St NW
8.13,Lincoln Memorial,Lincoln Memorial
11.21,Lincoln Memorial,Lincoln Memorial
12.7,Lincoln Memorial,Lincoln Memorial
22.83,Lincoln Memorial,Lincoln Memorial
16.53,Jefferson Dr & 14th St SW,8th & East Capitol St NE
25.04,Lincoln Memorial,Lincoln Memorial
25.51,Lincoln Memorial,Lincoln Memorial
26.48,Lincoln Memorial,Lincoln Memorial
27.7,Lincoln Memorial,Lincoln Memorial
12.01,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
32.12,Jefferson Dr & 14th St SW,16th & K St NW
32.89,Jefferson Dr & 14th St SW,16th & K St NW
32.72,Jefferson Dr & 14th St SW,16th & K St NW
6.1,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
19.89,Jefferson Dr & 14th St SW,Lincoln Memorial
16.8,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
18.11,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
20,Jefferson Dr & 14th St SW,Lincoln Memorial
21.66,Jefferson Dr & 14th St SW,17th & G St NW
6.17,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
17.1,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
17.69,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
24.86,Jefferson Dr & 14th St SW,Metro Center / 12th & G St NW
29.69,Jefferson Dr & 14th St SW,Metro Center / 12th & G St NW
15.33,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
33.93,Jefferson Dr & 14th St SW,11th & F St NW
17.89,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
18.01,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
28,Lincoln Memorial,4th St & Madison Dr NW
26.87,Lincoln Memorial,4th St & Madison Dr NW
9.39,Jefferson Dr & 14th St SW,Lincoln Memorial
76.81,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
157.18,Lincoln Memorial,Henry Bacon Dr & Lincoln Memorial Circle NW
158,Lincoln Memorial,Henry Bacon Dr & Lincoln Memorial Circle NW
123.75,Jefferson Dr & 14th St SW,10th & E St NW
124.18,Jefferson Dr & 14th St SW,M St & New Jersey Ave SE
124.46,Jefferson Dr & 14th St SW,M St & New Jersey Ave SE
117.96,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
117.81,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
127.7,Jefferson Dr & 14th St SW,10th & E St NW
129.07,Jefferson Dr & 14th St SW,10th & E St NW
14.09,Lincoln Memorial,Jefferson Memorial
13.55,Lincoln Memorial,Jefferson Memorial
17.06,Lincoln Memorial,4th St & Madison Dr NW
96.49,Jefferson Dr & 14th St SW,10th St & Constitution Ave NW
29.86,Lincoln Memorial,12th & L St NW
30.37,Lincoln Memorial,12th & L St NW
109.07,Jefferson Dr & 14th St SW,10th St & Constitution Ave NW
109.02,Jefferson Dr & 14th St SW,10th St & Constitution Ave NW
19.09,Lincoln Memorial,Jefferson Dr & 14th St SW
18.15,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
19.85,Lincoln Memorial,Jefferson Dr & 14th St SW
17.8,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
19.41,Lincoln Memorial,Jefferson Dr & 14th St SW
5.75,Jefferson Dr & 14th St SW,14th & G St NW
24.98,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
25.25,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
76.45,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
14.9,Lincoln Memorial,17th St & Independence Ave SW
59.88,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
60.84,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
62.21,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
18.26,Lincoln Memorial,Wisconsin Ave & O St NW
61.71,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
18.36,Lincoln Memorial,Wisconsin Ave & O St NW
7.93,Lincoln Memorial,Lincoln Memorial
25.27,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
22.83,Lincoln Memorial,Wisconsin Ave & O St NW
26.46,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
22.66,Lincoln Memorial,Wisconsin Ave & O St NW
26.31,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
87.36,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
128.07,Jefferson Dr & 14th St SW,8th & D St NW
128.94,Jefferson Dr & 14th St SW,8th & D St NW
128.31,Jefferson Dr & 14th St SW,8th & D St NW
130.76,Jefferson Dr & 14th St SW,8th & D St NW
12.45,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
80.2,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
13.46,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
82.88,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
8.06,Jefferson Dr & 14th St SW,8th & D St NW
11.55,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
34.64,Lincoln Memorial,Jefferson Dr & 14th St SW
46.05,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
46.82,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
30.08,Lincoln Memorial,4th St & Madison Dr NW
29.59,Lincoln Memorial,4th St & Madison Dr NW
21.89,Lincoln Memorial,17th St & Independence Ave SW
42.13,Jefferson Dr & 14th St SW,20th St & Florida Ave NW
42.47,Jefferson Dr & 14th St SW,20th St & Florida Ave NW
44.59,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
53.12,Lincoln Memorial,New Hampshire Ave & 24th St NW
44.89,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
29.66,Jefferson Dr & 14th St SW,Lincoln Memorial
31.66,Jefferson Dr & 14th St SW,Lincoln Memorial
63.1,Lincoln Memorial,11th & F St NW
62.97,Lincoln Memorial,11th & F St NW
55.34,Jefferson Dr & 14th St SW,Lincoln Memorial
56.64,Jefferson Dr & 14th St SW,Lincoln Memorial
100.78,Lincoln Memorial,Kennedy Center
100.79,Lincoln Memorial,Kennedy Center
44.01,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
45.25,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
26.01,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
25.28,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
22.77,Lincoln Memorial,Jefferson Dr & 14th St SW
22.84,Lincoln Memorial,Jefferson Dr & 14th St SW
40.22,Lincoln Memorial,10th St & Constitution Ave NW
40.45,Lincoln Memorial,10th St & Constitution Ave NW
79.87,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
79.47,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
82.28,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
81.71,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
39.69,Lincoln Memorial,Jefferson Memorial
39.47,Lincoln Memorial,Jefferson Memorial
25.85,Jefferson Dr & 14th St SW,5th & F St NW
25.51,Jefferson Dr & 14th St SW,5th & F St NW
233.31,Lincoln Memorial,18th St & Pennsylvania Ave NW
39.4,Lincoln Memorial,10th St & Constitution Ave NW
38.57,Lincoln Memorial,10th St & Constitution Ave NW
22.63,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
123.33,Lincoln Memorial,Wisconsin Ave & O St NW
124.11,Lincoln Memorial,Wisconsin Ave & O St NW
126.53,Lincoln Memorial,Wisconsin Ave & O St NW
82.2,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
24.18,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
24.3,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
